Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1929904768;668609161,77673;930,5543;44,74821;13;306,7795;False
2;2209076736;707335828,483701;655,3498;26,32913;12;249,0841;False
3;2348680704;1181613780,55752;924,3662;39,86078;11;281,6142;False
4;2520971008;1284811983,94549;932,991;39,01947;13;323,3318;False
5;2445834752;1349619929,48387;925,6053;39,14294;13;323,3372;False
6;2716180480;1428745001,6946;911,0775;36,40088;13;324,658;False
7;2340619776;1374096573,77844;921,6031;39,75012;13;320,2083;False
8;2662467072;1362976048,49182;935,7653;38,16138;13;308,8502;False
9;4708016128;1432153640,25469;1617,925;103,8408;13;301,0444;False
10;2453889280;1128211708,92307;928,5594;39,2644;14;310,2277;False
11;2545895424;1531753508,85345;919,1018;37,99426;14;310,2277;False
12;2955584000;1327830424,07116;1207,588;56,90479;13;287,1433;False
13;3883770880;1622858552,25286;1466,427;81,41797;13;287,1433;False
14;3125610496;2034846387,2;1349,798;77,26929;13;297,9558;False
15;2967617024;1749158503,4104;920,2977;35,4436;14;296,7023;False
16;4873671168;1883657852,8;1610,18;90,7168;14;296,7023;False
17;3930891520;1583429593,92525;1474,45;82,0481;14;296,7023;False
18;2915155712;1968830854,4;918,4564;35,63403;14;295,1211;False
19;3152423936;2037372611,2;911,5025;34,06323;13;304,6581;False
20;2730864128;1804104438,60858;930,2109;37,38257;13;300,7608;False
21;3305421824;2045682440,78528;1345,023;70,38843;13;301,1967;False
22;3507895040;1908277416,71513;1336,121;64,2793;13;301,1967;False
23;2739589888;1584276854,19908;1066,149;46,28491;13;300,7608;False
24;3376412928;1938462189,06891;1356,862;70,84131;13;302,4389;False
25;3595900928;1831122221,20796;925,6708;32,82715;13;300,4173;False
26;6361144320;2485584598,62305;1750;87,44849;13;300,6798;True
27;3511867648;2332883568,90464;921,6707;32,97729;13;300,0267;False
28;3261689856;2302561911,59567;1331,995;69,02002;13;281,4298;False
29;3869527040;2380061487,37935;1461,547;80,52197;13;289,7888;False
30;4428683776;2240601361,38998;1477,047;69,37744;12;290,3056;False
